Olajcsere;Tőbb mint kettő nevű;1110001000,0000000000,0000000000,0000000000,0000000000
Elektronika;Kettő nevű;1101001000,0000000000,0000000000,0000000000,0000000000
Futomű;Nem vagyok kreativ;1000101111,0000000000,0000000000,0000000000,0000000000
Kerékcsere;Nem kreativ;0000000000,1110000000,0000000000,0000000000,0000000000
Kerékcsere;Kis Pista;0000000000,1110000000,0000000000,0000000000,0000000000
Olajcsere;Banánáos Joe;0000000000,1110000000,0000000000,0000000000,0000000000
Futomű;Beviz Elek;0000000000,1110000000,0000000000,0000000000,0000000000
Elektronika;Beviz Elek Jr.;0000000000,1110000000,0000000000,0000000000,0000000000
Elektronika;Beviz Elek Sr.;0000000000,1110000000,0000000000,0000000000,0000000000
Elektronika;Beviz Elek Jr. Sr.;0000000000,1110000000,0000000000,0000000000,0000000000
